"","yearly_pff_id","pff_position_off"
"687","2016_6007","HB"
"688","2016_9488","TE"
"689","2016_10863","WR"
"690","2016_9576","TE"
"691","2016_11237","G"
"692","2016_1255","QB"
"693","2016_10870","HB"
"694","2016_11259","WR"
"695","2016_9556","WR"
"696","2016_10657","WR"
"697","2016_10777","HB"
"698","2016_7110","TE"
"699","2016_11139","TE"
"700","2016_9205","HB"
"701","2016_10724","HB"
"702","2016_4945","WR"
"703","2016_9528","HB"
"704","2016_10734","QB"
"705","2016_2430","QB"
"706","2016_7332","HB"
"707","2016_10944","T"
"708","2016_7968","HB"
"709","2016_6595","HB"
"710","2016_7511","HB"
"711","2016_9565","WR"
"712","2016_11279","QB"
"713","2016_6476","WR"
"714","2016_10790","HB"
"715","2016_6301","HB"
"716","2016_10927","HB"
"717","2016_8955","HB"
"718","2016_7069","HB"
"719","2016_7842","HB"
"720","2016_8780","G"
"721","2016_8906","HB"
"722","2016_9167","TE"
"723","2016_9828","TE"
"724","2016_10907","HB"
"725","2016_7917","HB"
"726","2016_8981","TE"
"727","2016_7860","WR"
"728","2016_10785","G"
"729","2016_7457","HB"
"730","2016_11408","FB"
"731","2016_8374","QB"
"732","2016_10320","TE"
"733","2016_9499","G"
"734","2016_6208","HB"
"735","2016_8781","WR"
"736","2016_11354","WR"
"737","2016_4097","WR"
"738","2016_8452","C"
"739","2016_8752","HB"
"740","2016_9607","HB"
"741","2016_9902","HB"
"742","2016_7963","HB"
"743","2016_8557","TE"
"744","2016_9572","WR"
"745","2016_9244","HB"
"746","2016_1811","QB"
"747","2016_8824","WR"
"748","2016_8684","TE"
"749","2016_10124","T"
"750","2016_9619","WR"
"751","2016_11193","T"
"752","2016_10787","HB"
"753","2016_11395","HB"
"754","2016_10820","WR"
"755","2016_11107","WR"
"756","2016_9300","WR"
"757","2016_11231","WR"
"758","2016_4928","QB"
"759","2016_7820","QB"
"760","2016_10796","QB"
"761","2016_9032","T"
"762","2016_9580","QB"
"763","2016_9018","WR"
"764","2016_3026","QB"
"765","2016_7878","HB"
"766","2016_9470","WR"
"767","2016_11192","WR"
"768","2016_8061","WR"
"769","2016_8019","WR"
"770","2016_6226","QB"
"771","2016_7165","HB"
"772","2016_9827","HB"
"773","2016_8968","T"
"774","2016_10707","HB"
"775","2016_8954","TE"
"776","2016_10755","G"
"777","2016_9487","HB"
"778","2016_9559","HB"
"779","2016_7955","T"
"780","2016_9689","TE"
"781","2016_9839","HB"
"782","2016_9066","TE"
"783","2016_11020","TE"
"784","2016_5534","HB"
"785","2016_2988","S"
"786","2016_9276","G"
"787","2016_5398","HB"
"788","2016_5535","DI"
"789","2016_10811","TE"
"790","2016_10804","G"
"791","2016_9780","WR"
"792","2016_7857","WR"
"793","2016_7861","S"
"794","2016_6262","G"
"795","2016_6264","WR"
"796","2016_11057","HB"
"797","2016_9558","HB"
"798","2016_3623","HB"
"799","2016_10195","WR"
"800","2016_10788","WR"
"801","2016_9700","WR"
"802","2016_9522","QB"
"803","2016_8858","DI"
"804","2016_10834","T"
"805","2016_5745","WR"
"806","2016_11028","WR"
"807","2016_9173","HB"
"808","2016_5021","TE"
"809","2016_9778","HB"
"810","2016_4983","T"
"811","2016_7922","HB"
"812","2016_9080","WR"
"813","2016_8928","T"
"814","2016_10966","FB"
"815","2016_4338","HB"
"816","2016_7216","TE"
"817","2016_8811","WR"
"818","2016_10958","T"
"819","2016_11076","HB"
"820","2016_10864","WR"
"821","2016_9667","WR"
"822","2016_11318","DI"
"823","2016_8013","HB"
"824","2016_10656","WR"
"825","2016_10167","ED"
"826","2016_9081","T"
"827","2016_9187","HB"
"828","2016_8748","HB"
"829","2016_7361","HB"
"830","2016_10760","WR"
"831","2016_10773","QB"
"832","2016_8852","WR"
"833","2016_9058","G"
"834","2016_9964","WR"
"835","2016_4318","HB"
"836","2016_7469","HB"
"837","2016_11150","HB"
"838","2016_5214","QB"
"839","2016_4466","DI"
"840","2016_9258","C"
"841","2016_5109","HB"
"842","2016_8995","T"
"843","2016_10904","TE"
"844","2016_4914","HB"
"845","2016_8773","HB"
"846","2016_9957","FB"
"847","2016_9657","LB"
"848","2016_9847","C"
"849","2016_7970","HB"
"850","2016_7854","QB"
"851","2016_10115","HB"
"852","2016_7095","C"
"853","2016_6586","LS"
"854","2016_6020","LS"
"855","2016_5536","T"
"856","2016_5528","DI"
"857","2016_10827","G"
"858","2016_4387","HB"
"859","2016_3316","LS"
"860","2016_11190","LB"
"861","2016_11211","WR"
"862","2016_11268","C"
"863","2016_11359","TE"
"864","2016_11446","LS"
"865","2016_9864","HB"
"866","2016_7716","CB"
"867","2016_7418","LS"
"868","2016_7396","S"
"869","2016_9836","LB"
"870","2016_11473","HB"
"871","2016_9815","LB"
"872","2016_6979","LS"
"873","2016_6892","HB"
"874","2016_6623","LB"
"875","2016_6419","LB"
"876","2016_6335","HB"
"877","2016_10732","S"
"878","2016_10753","HB"
"879","2016_5722","QB"
"880","2016_5587","LB"
"881","2016_5571","DI"
"882","2016_5561","HB"
"883","2016_9068","C"
"884","2016_1693","QB"
"885","2016_5440","HB"
"886","2016_5430","LS"
"887","2016_8514","HB"
"888","2016_10862","P"
"889","2016_8743","ED"
