player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Sean Lee,5580,LB,DAL,9,13,0,76.9,0,0,9,53,57.8,83.2,59,63.8,56.2,1,1,0,36,12.5,5,1,0,113.6,10,1,224,1,126,246,7,0,0,7,0,1,239,17,103,12,17,22,13,3,0,148,84,14.8
Golden Tate,5585,WR,PHI,1,0,0,,0,0,24,,60,60,,60,,0,0,0,,,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
Morgan Burnett,5596,S,PIT,11,8,0,59.3,1,0,25,62.8,66.7,82.8,67.2,69.8,83.2,2,2,0,39,3.3,1,4,3,125.4,16,0,229,15,265,390,19,0,0,19,0,39,371,16,109,88,10,21,27,4,3,239,61,14.9
Earl Mitchell,5605,DI,SF,13,7,0,,0,0,28,56.1,62.8,87.3,56.1,63.5,67,3,5,0,,3.7,1,0,0,0,0,0,0,0,4,363,363,226,133,0,4,0,0,167,192,0,12,19,0,8,0,0,0,
Corey Peters,5607,DI,ARZ,15,8,1,,0,0,1,70.7,66,89.8,51.4,68.7,57.5,1,12,0,,10,5,0,0,0,0,3,3,0,4,735,731,389,328,1,13,0,4,398,333,0,28,37,0,16,0,0,0,
Andre Roberts,5612,WR,NYJ,1,0,0,,0,0,22,60.7,70.2,60,,,,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Everson Griffen,5624,ED,MIN,11,6,1,0,1,0,18,59.9,68,38.5,61.4,76.1,61.3,6,15,0,,12.1,4,0,5,39.6,0,7,0,0,9,585,585,0,3,558,24,0,0,332,244,0,23,23,1,28,0,0,0,
Geno Atkins,5643,DI,CIN,16,14,0,100,1,0,7,52.9,81.8,60,85.1,70,37.9,9,46,0,14,17.4,8,0,3,118.8,1,9,2,0,3,795,793,60,651,7,75,0,2,493,299,0,28,24,1,64,0,14,2,14
Al Woods,5646,DI,IND,14,7,1,100,1,0,14,51.1,59.1,53,62.4,66.9,27.2,2,8,0,13,20.8,5,0,2,118.8,1,0,0,0,14,375,375,183,188,0,4,0,0,174,187,0,7,12,1,10,0,13,1,13
Kendrick Lewis,5659,S,TEN,9,6,0,81.3,0,0,31,49.1,53.1,84.4,,66.5,70.8,0,0,0,55,10.3,3,1,0,130.7,13,0,94,7,165,276,6,0,0,6,0,149,270,0,111,19,4,20,16,0,1,166,71,12.8
Sherrick McManis,5667,CB,CHI,16,4,0,63.6,0,0,6,83.2,85.7,84.6,70,83.5,80.3,2,6,1,28,7.1,2,4,0,71.8,21,1,17,19,208,282,12,0,0,12,0,3,270,25,49,230,12,22,33,9,1,152,71,7.2
Reshad Jones,5686,S,MIA,14,5,0,66.7,1,0,17,71.7,72.1,61.7,70.2,68.6,67.8,1,2,3,73,12,9,5,1,72.2,18,0,136,6,448,825,25,0,0,25,0,560,800,14,363,98,20,61,27,3,1,271,97,15.1
Joe Webb III,5722,WR,HST,1,0,0,,0,0,13,,60,60.4,,,,0,0,0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
Dekoda Watson,5740,ED,SF,4,0,0,,0,0,28,60,69.4,82.1,66.3,62.3,74,0,4,0,,0,0,0,0,0,0,3,0,0,1,61,61,0,2,57,2,0,0,52,8,0,3,2,0,7,0,0,0,
Kurt Coleman,5767,S,NO,17,4,0,92.9,0,1,20,53.7,55.9,83.1,48,63,36.2,0,1,0,20,25,9,0,0,144.3,13,0,154,7,193,362,69,0,0,69,0,85,293,17,152,47,9,23,14,1,2,128,78,9.8
Rafael Bush,5779,CB,BUF,15,13,0,82.4,0,0,4,59.2,60.9,44.8,66.5,64,62,1,2,0,32,14.3,7,0,1,129,28,2,105,2,242,452,21,0,0,21,0,44,431,20,190,280,11,29,34,5,3,269,173,9.6
Kyle Love,5806,DI,CAR,16,5,1,,0,3,5,61,75.8,71.2,64.1,78.2,46.9,2,11,0,,10.5,2,0,1,0,0,2,0,0,2,467,467,86,294,1,86,0,0,289,176,0,12,12,0,15,0,0,0,
